transaction_id;customer_id;transaction_date;type;description;amount;transaction_id;customer_id;transaction_date;type;description;Amount;label;Confidence_random_forest;category_random_forest;subcategory_random_forest;CR_version;model_version
18;42;2016-04-04T00:00:00Z;debit;028-7052069-6150746 amazon.de 0132819956533897;;18;42;2016-04-04T00:00:00Z;debit;028-7052069-6150746 amazon.de 0132819956533897;379.7;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
19;42;2016-04-09T00:00:00Z;debit;rewe emmendingen/m    ;;19;42;2016-04-09T00:00:00Z;debit;rewe emmendingen/m    ;123.6;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
20;42;2016-04-16T00:00:00Z;debit;volksbank breisgaunord;;20;42;2016-04-16T00:00:00Z;debit;volksbank breisgaunord;50.0;transfer_out/transfer_out;0.7812500000000001;transfer_out;transfer_out;Oct2018;Oct2018
21;42;2016-04-16T00:00:00Z;debit;volksbank breisgaunord;;21;42;2016-04-16T00:00:00Z;debit;volksbank breisgaunord;100.0;transfer_out/transfer_out;0.7812500000000001;transfer_out;transfer_out;Oct2018;Oct2018
23;42;2016-05-06T00:00:00Z;debit;atm m2 caiazzo        ;;23;42;2016-05-06T00:00:00Z;debit;atm m2 caiazzo        ;33.0;cash/atm;1.0;cash;atm;Oct2018;Oct2018
24;42;2016-05-07T00:00:00Z;debit;class                 ;;24;42;2016-05-07T00:00:00Z;debit;class                 ;59.9;transfer_out/transfer_out;0.6390625;transfer_out;transfer_out;Oct2018;Oct2018
25;42;2016-05-07T00:00:00Z;debit;conbipel  1           ;;25;42;2016-05-07T00:00:00Z;debit;conbipel  1           ;54.97;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
26;42;2016-05-07T00:00:00Z;debit;aldo                  ;;26;42;2016-05-07T00:00:00Z;debit;aldo                  ;108.0;shopping/clothing & shoes;1.0;shopping;clothing & shoes;Oct2018;Oct2018
27;42;2016-05-07T00:00:00Z;debit;piazza duca d'a       ;;27;42;2016-05-07T00:00:00Z;debit;piazza duca d'a       ;210.0;food_and_dining/restaurants;0.501860119;food_and_dining;restaurants;Oct2018;Oct2018
28;42;2016-05-09T00:00:00Z;debit;028-1817070-9740302 amazon.de 2206958987115551;;28;42;2016-05-09T00:00:00Z;debit;028-1817070-9740302 amazon.de 2206958987115551;27.99;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
30;42;2016-06-04T00:00:00Z;debit;dm-drogerie markt gmbh;;30;42;2016-06-04T00:00:00Z;debit;dm-drogerie markt gmbh;53.4;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
31;42;2016-06-04T00:00:00Z;debit;jet-tankstelle        ;;31;42;2016-06-04T00:00:00Z;debit;jet-tankstelle        ;67.74;travel/flights;0.6368799603;travel;flights;Oct2018;Oct2018
32;42;2016-06-10T00:00:00Z;debit;sfo/t-3/ba/f   nt airp;;32;42;2016-06-10T00:00:00Z;debit;sfo/t-3/ba/f   nt airp;90.13;transfer_out/transfer_out;0.3385168651;transfer_out;transfer_out;Oct2018;Oct2018
33;42;2016-06-11T00:00:00Z;debit;rfc mgm grand rest    ;;33;42;2016-06-11T00:00:00Z;debit;rfc mgm grand rest    ;13.34;food_and_dining/restaurants;0.1873139881;food_and_dining;restaurants;Oct2018;Oct2018
34;42;2016-06-11T00:00:00Z;debit;miracle mile shop 2   ;;34;42;2016-06-11T00:00:00Z;debit;miracle mile shop 2   ;284.74;shopping/groceries;0.4255952381;shopping;groceries;Oct2018;Oct2018
35;42;2016-06-12T00:00:00Z;debit;taqueria canonita     ;;35;42;2016-06-12T00:00:00Z;debit;taqueria canonita     ;106.56;transfer_out/transfer_out;0.8125;transfer_out;transfer_out;Oct2018;Oct2018
36;42;2016-06-13T00:00:00Z;debit;starbucks d nw        ;;36;42;2016-06-13T00:00:00Z;debit;starbucks d nw        ;12.38;food_and_dining/coffee shops;1.0;food_and_dining;coffee shops;Oct2018;Oct2018
37;42;2016-06-13T00:00:00Z;debit;burke in a box        ;;37;42;2016-06-13T00:00:00Z;debit;burke in a box        ;16.9;food_and_dining/fast food & takeaway;0.1963045635;food_and_dining;fast food & takeaway;Oct2018;Oct2018
38;42;2016-06-14T00:00:00Z;debit;wholefds ffx 10177    ;;38;42;2016-06-14T00:00:00Z;debit;wholefds ffx 10177    ;21.68;transfer_out/transfer_out;0.53125;transfer_out;transfer_out;Oct2018;Oct2018
39;42;2016-06-17T00:00:00Z;debit;tbit chaya            ;;39;42;2016-06-17T00:00:00Z;debit;tbit chaya            ;15.51;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
41;42;2016-06-22T00:00:00Z;debit;atm 029964 7 bolshaya ;;41;42;2016-06-22T00:00:00Z;debit;atm 029964 7 bolshaya ;68.97;cash/atm;1.0;cash;atm;Oct2018;Oct2018
42;42;2016-06-22T00:00:00Z;debit;atm 029964 7 bolshaya ;;42;42;2016-06-22T00:00:00Z;debit;atm 029964 7 bolshaya ;68.97;cash/atm;1.0;cash;atm;Oct2018;Oct2018
44;42;2016-06-23T00:00:00Z;debit;shtandart             ;;44;42;2016-06-23T00:00:00Z;debit;shtandart             ;124.71;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
45;42;2016-06-24T00:00:00Z;debit;galereja obuv         ;;45;42;2016-06-24T00:00:00Z;debit;galereja obuv         ;41.65;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
46;42;2016-06-24T00:00:00Z;debit;ooo lider-ii          ;;46;42;2016-06-24T00:00:00Z;debit;ooo lider-ii          ;33.24;transfer_out/transfer_out;0.8437500000000001;transfer_out;transfer_out;Oct2018;Oct2018
47;42;2016-06-25T00:00:00Z;debit;atm 995827 100 nevskiy;;47;42;2016-06-25T00:00:00Z;debit;atm 995827 100 nevskiy;69.55;cash/atm;1.0;cash;atm;Oct2018;Oct2018
48;42;2016-06-26T00:00:00Z;debit;mcdonalds 11001       ;;48;42;2016-06-26T00:00:00Z;debit;mcdonalds 11001       ;3.9;food_and_dining/fast food & takeaway;1.0;food_and_dining;fast food & takeaway;Oct2018;Oct2018
49;42;2016-06-26T00:00:00Z;debit;ooo lider k           ;;49;42;2016-06-26T00:00:00Z;debit;ooo lider k           ;157.62;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
50;42;2016-06-28T00:00:00Z;debit;pavilon italiya       ;;50;42;2016-06-28T00:00:00Z;debit;pavilon italiya       ;5.4;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
51;42;2016-06-28T00:00:00Z;debit;bar bq kafe           ;;51;42;2016-06-28T00:00:00Z;debit;bar bq kafe           ;67.49;food_and_dining/pubs & clubs;0.9826388889000001;food_and_dining;pubs & clubs;Oct2018;Oct2018
52;42;2016-06-28T00:00:00Z;debit;atm0012 imb prechisten;;52;42;2016-06-28T00:00:00Z;debit;atm0012 imb prechisten;42.62;cash/atm;1.0;cash;atm;Oct2018;Oct2018
53;42;2016-06-29T00:00:00Z;debit;"""irish bar shannon's-v";;53;42;2016-06-29T00:00:00Z;debit;"""irish bar shannon's-v";35.52;food_and_dining/pubs & clubs;0.7106274802;food_and_dining;pubs & clubs;Oct2018;Oct2018
56;42;2016-07-15T00:00:00Z;debit;spk freiburg-noerdlich;;56;42;2016-07-15T00:00:00Z;debit;spk freiburg-noerdlich;200.0;transfer_out/transfer_out;0.9375;transfer_out;transfer_out;Oct2018;Oct2018
57;42;2016-07-15T00:00:00Z;debit;dm-drogerie markt gmbh;;57;42;2016-07-15T00:00:00Z;debit;dm-drogerie markt gmbh;159.8;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
58;42;2016-07-16T00:00:00Z;debit;obi bau- und heimwerke;;58;42;2016-07-16T00:00:00Z;debit;obi bau- und heimwerke;22.1;transfer_out/transfer_out;0.8125;transfer_out;transfer_out;Oct2018;Oct2018
59;42;2016-07-16T00:00:00Z;debit;tankstelle gruen      ;;59;42;2016-07-16T00:00:00Z;debit;tankstelle gruen      ;60.16;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
60;42;2016-07-26T00:00:00Z;debit;306-0666973-1046727 amazon.mktplce eu-de 0184735679216963;;60;42;2016-07-26T00:00:00Z;debit;306-0666973-1046727 amazon.mktplce eu-de 0184735679216963;77.67;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
61;42;2016-07-27T00:00:00Z;debit;pret a manger         ;;61;42;2016-07-27T00:00:00Z;debit;pret a manger         ;5.79;food_and_dining/coffee shops;1.0;food_and_dining;coffee shops;Oct2018;Oct2018
62;42;2016-07-27T00:00:00Z;debit;docklands light railwa;;62;42;2016-07-27T00:00:00Z;debit;docklands light railwa;14.48;transport/public transport;0.7345858135000001;transport;public transport;Oct2018;Oct2018
63;42;2016-07-27T00:00:00Z;debit;coco di mama          ;;63;42;2016-07-27T00:00:00Z;debit;coco di mama          ;6.21;food_and_dining/fast food & takeaway;0.5145089286;food_and_dining;fast food & takeaway;Oct2018;Oct2018
64;42;2016-07-27T00:00:00Z;debit;028-3696133-7081908 amazon.mktplce eu-de 1741461223156233;;64;42;2016-07-27T00:00:00Z;debit;028-3696133-7081908 amazon.mktplce eu-de 1741461223156233;28.8;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
65;42;2016-07-27T00:00:00Z;debit;       aelia duty free;;65;42;2016-07-27T00:00:00Z;debit;       aelia duty free;18.19;shopping/department store;0.8602430556;shopping;department store;Oct2018;Oct2018
66;42;2016-07-27T00:00:00Z;debit;panopolis airside     ;;66;42;2016-07-27T00:00:00Z;debit;panopolis airside     ;16.26;transfer_out/transfer_out;0.8255208333;transfer_out;transfer_out;Oct2018;Oct2018
67;42;2016-07-29T00:00:00Z;debit;tankstelle gruen      ;;67;42;2016-07-29T00:00:00Z;debit;tankstelle gruen      ;5.38;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
68;42;2016-08-01T00:00:00Z;debit;danke ihr neukauf     ;;68;42;2016-08-01T00:00:00Z;debit;danke ihr neukauf     ;66.46;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
69;42;2016-08-01T00:00:00Z;debit;4191 treff teningen   ;;69;42;2016-08-01T00:00:00Z;debit;4191 treff teningen   ;5.27;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
71;42;2016-08-06T00:00:00Z;debit;rewe emmendingen/m    ;;71;42;2016-08-06T00:00:00Z;debit;rewe emmendingen/m    ;12.7;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
72;42;2016-08-07T00:00:00Z;debit;aral station 231807108;;72;42;2016-08-07T00:00:00Z;debit;aral station 231807108;62.99;transport/fuel;0.5140997024;transport;fuel;Oct2018;Oct2018
73;42;2016-08-24T00:00:00Z;debit;305-9200011-5793967 amazon.mktplce eu-de 0859649431239248;;73;42;2016-08-24T00:00:00Z;debit;305-9200011-5793967 amazon.mktplce eu-de 0859649431239248;80.98;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
74;42;2016-08-24T00:00:00Z;debit;305-9200011-5793967 amazon.mktplce eu-de 0859615480020156;;74;42;2016-08-24T00:00:00Z;debit;305-9200011-5793967 amazon.mktplce eu-de 0859615480020156;77.96;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
76;42;2016-09-05T00:00:00Z;debit;dm-drogerie markt gmbh;;76;42;2016-09-05T00:00:00Z;debit;dm-drogerie markt gmbh;21.89;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
77;42;2016-09-07T00:00:00Z;debit;migros m ruschlikon pa;;77;42;2016-09-07T00:00:00Z;debit;migros m ruschlikon pa;69.67;transfer_out/transfer_out;0.3111855159;transfer_out;transfer_out;Oct2018;Oct2018
78;42;2016-09-13T00:00:00Z;debit;305-9724744-9478710 amazon.de 2381353494103203;;78;42;2016-09-13T00:00:00Z;debit;305-9724744-9478710 amazon.de 2381353494103203;48.61;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
79;42;2016-10-01T00:00:00Z;debit;dm-drogerie markt gmbh;;79;42;2016-10-01T00:00:00Z;debit;dm-drogerie markt gmbh;68.95;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
82;42;2016-10-10T00:00:00Z;debit;"luthy + stocker; zuric";;82;42;2016-10-10T00:00:00Z;debit;"luthy + stocker; zuric";63.84;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
84;42;2016-10-17T00:00:00Z;debit;2001339635vorg. 1339635 vers. 01 46897 ottdaniel;;84;42;2016-10-17T00:00:00Z;debit;2001339635vorg. 1339635 vers. 01 46897 ottdaniel;1519.96;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
85;42;2016-10-17T00:00:00Z;debit;028-1009561-4638722 amazon.de 0827995812820099;;85;42;2016-10-17T00:00:00Z;debit;028-1009561-4638722 amazon.de 0827995812820099;21.34;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
87;42;2016-10-19T00:00:00Z;debit;305-2238238-0253118 amazon.mktplce eu-de 2296524119754946;;87;42;2016-10-19T00:00:00Z;debit;305-2238238-0253118 amazon.mktplce eu-de 2296524119754946;352.0;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
88;42;2016-10-19T00:00:00Z;debit;305-2911638-0987521 amazon.mktplce eu-de 1096847832897171;;88;42;2016-10-19T00:00:00Z;debit;305-2911638-0987521 amazon.mktplce eu-de 1096847832897171;17.49;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
89;42;2016-10-20T00:00:00Z;debit;305-3061342-1066745 amazon.de 2908471254703983;;89;42;2016-10-20T00:00:00Z;debit;305-3061342-1066745 amazon.de 2908471254703983;34.23;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
90;42;2016-10-20T00:00:00Z;debit;305-9426357-6909141 amazon.mktplce eu-de 1536442742276384;;90;42;2016-10-20T00:00:00Z;debit;305-9426357-6909141 amazon.mktplce eu-de 1536442742276384;48.55;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
91;42;2016-10-20T00:00:00Z;debit;305-2891114-1149947 amazon.de 0717121750180741;;91;42;2016-10-20T00:00:00Z;debit;305-2891114-1149947 amazon.de 0717121750180741;34.9;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
92;42;2016-10-20T00:00:00Z;debit;305-7640114-2103535 amazon.mktplce eu-de 1154532034002256;;92;42;2016-10-20T00:00:00Z;debit;305-7640114-2103535 amazon.mktplce eu-de 1154532034002256;24.95;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
93;42;2016-10-20T00:00:00Z;debit;305-9426357-6909141 amazon.mktplce eu-de 1536486569782578;;93;42;2016-10-20T00:00:00Z;debit;305-9426357-6909141 amazon.mktplce eu-de 1536486569782578;12.9;travel/hotel;0.1402281746;travel;hotel;Oct2018;Oct2018
95;42;2016-10-22T00:00:00Z;debit;dm-drogerie markt gmbh;;95;42;2016-10-22T00:00:00Z;debit;dm-drogerie markt gmbh;55.45;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
96;42;2016-10-22T00:00:00Z;debit;danke ihr neukauf     ;;96;42;2016-10-22T00:00:00Z;debit;danke ihr neukauf     ;105.21;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
97;42;2016-10-30T00:00:00Z;debit;da marina             ;;97;42;2016-10-30T00:00:00Z;debit;da marina             ;49.4;food_and_dining/restaurants;0.256547619;food_and_dining;restaurants;Oct2018;Oct2018
98;42;2016-10-31T00:00:00Z;debit;cafe 24               ;;98;42;2016-10-31T00:00:00Z;debit;cafe 24               ;4.2;food_and_dining/coffee shops;0.9930555556;food_and_dining;coffee shops;Oct2018;Oct2018
99;42;2016-10-31T00:00:00Z;debit;la sfoglia            ;;99;42;2016-10-31T00:00:00Z;debit;la sfoglia            ;66.9;food_and_dining/restaurants;0.8143725198;food_and_dining;restaurants;Oct2018;Oct2018
100;42;2016-11-01T00:00:00Z;debit;cafe 24               ;;100;42;2016-11-01T00:00:00Z;debit;cafe 24               ;4.2;food_and_dining/coffee shops;0.9930555556;food_and_dining;coffee shops;Oct2018;Oct2018
101;42;2016-11-01T00:00:00Z;debit;cafe raffael          ;;101;42;2016-11-01T00:00:00Z;debit;cafe raffael          ;89.3;food_and_dining/coffee shops;0.9930555556;food_and_dining;coffee shops;Oct2018;Oct2018
103;42;2016-11-02T00:00:00Z;debit;cafe 24               ;;103;42;2016-11-02T00:00:00Z;debit;cafe 24               ;4.37;food_and_dining/coffee shops;0.9930555556;food_and_dining;coffee shops;Oct2018;Oct2018
104;42;2016-11-02T00:00:00Z;debit;da marina             ;;104;42;2016-11-02T00:00:00Z;debit;da marina             ;60.65;food_and_dining/restaurants;0.256547619;food_and_dining;restaurants;Oct2018;Oct2018
105;42;2016-11-03T00:00:00Z;debit;oasis travel & tourism;;105;42;2016-11-03T00:00:00Z;debit;oasis travel & tourism;78.0;travel/holiday;0.5561755952;travel;holiday;Oct2018;Oct2018
106;42;2016-11-03T00:00:00Z;debit;oasis travel & tourism;;106;42;2016-11-03T00:00:00Z;debit;oasis travel & tourism;48.0;travel/holiday;0.5561755952;travel;holiday;Oct2018;Oct2018
107;42;2016-11-03T00:00:00Z;debit;hugo s terrace        ;;107;42;2016-11-03T00:00:00Z;debit;hugo s terrace        ;84.35;shopping/clothing & shoes;0.48860367060000004;shopping;clothing & shoes;Oct2018;Oct2018
108;42;2016-11-04T00:00:00Z;debit;andrew s bar n  restau;;108;42;2016-11-04T00:00:00Z;debit;andrew s bar n  restau;76.2;food_and_dining/restaurants;0.41493055560000003;food_and_dining;restaurants;Oct2018;Oct2018
109;42;2016-11-05T00:00:00Z;debit;cafe 24               ;;109;42;2016-11-05T00:00:00Z;debit;cafe 24               ;19.8;food_and_dining/coffee shops;0.9930555556;food_and_dining;coffee shops;Oct2018;Oct2018
110;42;2016-11-05T00:00:00Z;debit;eurosport             ;;110;42;2016-11-05T00:00:00Z;debit;eurosport             ;29.95;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
111;42;2016-11-05T00:00:00Z;debit;mamma mia             ;;111;42;2016-11-05T00:00:00Z;debit;mamma mia             ;59.85;entertainment/movies & dvds;0.6506944444;entertainment;movies & dvds;Oct2018;Oct2018
112;42;2016-11-06T00:00:00Z;debit;corinthia san gorg    ;;112;42;2016-11-06T00:00:00Z;debit;corinthia san gorg    ;25.25;food_and_dining/restaurants;0.2734250992;food_and_dining;restaurants;Oct2018;Oct2018
113;42;2016-11-06T00:00:00Z;debit;hard rock cafe        ;;113;42;2016-11-06T00:00:00Z;debit;hard rock cafe        ;6.2;food_and_dining/restaurants;0.8984002976000001;food_and_dining;restaurants;Oct2018;Oct2018
114;42;2016-11-09T00:00:00Z;debit;da marina;;114;42;2016-11-09T00:00:00Z;debit;da marina;60.65;food_and_dining/restaurants;0.256547619;food_and_dining;restaurants;Oct2018;Oct2018
116;42;2016-11-10T00:00:00Z;debit;hugo s terrace;;116;42;2016-11-10T00:00:00Z;debit;hugo s terrace;84.35;shopping/clothing & shoes;0.48860367060000004;shopping;clothing & shoes;Oct2018;Oct2018
118;42;2016-11-11T00:00:00Z;debit;andrew s bar n;;118;42;2016-11-11T00:00:00Z;debit;andrew s bar n;76.2;food_and_dining/pubs & clubs;0.5833333333;food_and_dining;pubs & clubs;Oct2018;Oct2018
120;42;2016-11-12T00:00:00Z;debit;leihgabe hiha - merci;;120;42;2016-11-12T00:00:00Z;debit;leihgabe hiha - merci;50.0;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
121;42;2016-11-30T00:00:00Z;debit;cs zh_sihlcity_4;;121;42;2016-11-30T00:00:00Z;debit;cs zh_sihlcity_4;92.85;bills_and_utilities/satellite/cable;0.625297619;bills_and_utilities;satellite/cable;Oct2018;Oct2018
122;42;2016-11-30T00:00:00Z;debit;naturathek sihlcity ag;;122;42;2016-11-30T00:00:00Z;debit;naturathek sihlcity ag;64.8;business_services/facilities mgt;0.19717261900000002;business_services;facilities mgt;Oct2018;Oct2018
123;42;2016-11-30T00:00:00Z;debit;coop-2848 zh sihlcity;;123;42;2016-11-30T00:00:00Z;debit;coop-2848 zh sihlcity;25.53;shopping/groceries;0.6311631944;shopping;groceries;Oct2018;Oct2018
126;42;2016-12-02T00:00:00Z;debit;metropolitan pharmacy;;126;42;2016-12-02T00:00:00Z;debit;metropolitan pharmacy;80.55;health_and_fitness/pharmacy;0.59765625;health_and_fitness;pharmacy;Oct2018;Oct2018
127;42;2016-12-02T00:00:00Z;debit;reisebank frankfurt at;;127;42;2016-12-02T00:00:00Z;debit;reisebank frankfurt at;250.0;transfer_out/transfer_out;0.16790674600000002;transfer_out;transfer_out;Oct2018;Oct2018
128;42;2016-12-03T00:00:00Z;debit;*int'l airport;;128;42;2016-12-03T00:00:00Z;debit;*int'l airport;347.97;transport/parking;0.8042658730000001;transport;parking;Oct2018;Oct2018
130;42;2016-12-05T00:00:00Z;debit;400000021;;130;42;2016-12-05T00:00:00Z;debit;400000021;209.48;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
131;42;2016-12-06T00:00:00Z;debit;reception savoy resort;;131;42;2016-12-06T00:00:00Z;debit;reception savoy resort;234.92;food_and_dining/pubs & clubs;0.3621031746;food_and_dining;pubs & clubs;Oct2018;Oct2018
132;42;2016-12-07T00:00:00Z;debit;400000029;;132;42;2016-12-07T00:00:00Z;debit;400000029;207.28;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
133;42;2016-12-09T00:00:00Z;debit;*g-anse praslin;;133;42;2016-12-09T00:00:00Z;debit;*g-anse praslin;350.62;transfer_out/transfer_out;0.7225694444;transfer_out;transfer_out;Oct2018;Oct2018
134;42;2016-12-11T00:00:00Z;debit;*la digue;;134;42;2016-12-11T00:00:00Z;debit;*la digue;350.62;food_and_dining/restaurants;0.8143725198;food_and_dining;restaurants;Oct2018;Oct2018
135;42;2016-12-19T00:00:00Z;debit;305-1463965-5745136 amazon.de 0781898975838797;;135;42;2016-12-19T00:00:00Z;debit;305-1463965-5745136 amazon.de 0781898975838797;42.99;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
136;42;2016-12-19T00:00:00Z;debit;coop-2848 zh sihlcity;;136;42;2016-12-19T00:00:00Z;debit;coop-2848 zh sihlcity;30.37;shopping/groceries;0.6311631944;shopping;groceries;Oct2018;Oct2018
137;42;2016-12-24T00:00:00Z;debit;mueller 3524;;137;42;2016-12-24T00:00:00Z;debit;mueller 3524;99.79;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
138;42;2016-12-24T00:00:00Z;debit;fressnapf emmendingen;;138;42;2016-12-24T00:00:00Z;debit;fressnapf emmendingen;35.96;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
139;42;2016-12-24T00:00:00Z;debit;danke ihr neukauf;;139;42;2016-12-24T00:00:00Z;debit;danke ihr neukauf;112.34;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
140;42;2016-12-27T00:00:00Z;debit;danke ihr neukauf;;140;42;2016-12-27T00:00:00Z;debit;danke ihr neukauf;167.41;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
141;42;2016-12-27T00:00:00Z;debit;easyapotheke emmending;;141;42;2016-12-27T00:00:00Z;debit;easyapotheke emmending;25.56;transfer_out/transfer_out;1.0;transfer_out;transfer_out;Oct2018;Oct2018
142;42;2016-12-27T00:00:00Z;debit;dm-drogerie markt gmbh;;142;42;2016-12-27T00:00:00Z;debit;dm-drogerie markt gmbh;13.35;shopping/electronics & computers;0.2873883929;shopping;electronics & computers;Oct2018;Oct2018
143;42;2017-01-08T00:00:00Z;debit;www.wemakeit.ch;;143;42;2017-01-08T00:00:00Z;debit;www.wemakeit.ch;28.01;bills_and_utilities/electricity;0.6121651786;bills_and_utilities;electricity;Oct2018;Oct2018
145;42;2017-01-19T00:00:00Z;debit;302-0067602-5834772 amazon.de 2450034302647872;;145;42;2017-01-19T00:00:00Z;debit;302-0067602-5834772 amazon.de 2450034302647872;21.66;online_shopping/department store;1.0;online_shopping;department store;Oct2018;Oct2018
146;42;2017-01-19T00:00:00Z;debit;coop-2848 zh sihlcity;;146;42;2017-01-19T00:00:00Z;debit;coop-2848 zh sihlcity;40.9;shopping/groceries;0.6311631944;shopping;groceries;Oct2018;Oct2018
